;(Intercept);Emersion;Population;Salinity;Temperature;Emersion:Population;Emersion:Salinity;Emersion:Temperature;Population:Salinity;Population:Temperature;Salinity:Temperature;Emersion:Population:Salinity;Emersion:Population:Temperature;Emersion:Salinity:Temperature;Population:Salinity:Temperature;Emersion:Population:Salinity:Temperature;df;logLik;AICc;delta;weight
608;6.064082818;+;+;+;+;+;NA;+;NA;NA;+;NA;NA;NA;NA;NA;12;-659.7568862;1343.917395;4.406575123;0.007740504
526;6.012531402;+;NA;+;+;NA;NA;NA;NA;NA;+;NA;NA;NA;NA;NA;9;-662.8820431;1343.996045;4.485225526;0.007442015
10;6.011644599;+;NA;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;-664.9591575;1344.062274;4.55145432;0.007199613
136;6.04265139;+;+;+;NA;NA;NA;NA;+;NA;NA;NA;NA;NA;NA;NA;9;-662.9994582;1344.230875;4.720055678;0.006617559
143;6.042354314;NA;+;+;+;NA;NA;NA;+;NA;NA;NA;NA;NA;NA;NA;9;-663.009159;1344.250277;4.739457263;0.006553674
40;6.044381846;+;+;+;NA;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;-663.1377429;1344.507445;4.99662498;0.005762906
655;6.047924312;NA;+;+;+;NA;NA;NA;+;NA;+;NA;NA;NA;NA;NA;10;-662.2099825;1344.703836;5.1930165;0.00522391
16;6.046859735;+;+;+;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;-663.2701537;1344.772266;5.261446564;0.005048197
271;6.045245609;NA;+;+;+;NA;NA;NA;NA;+;NA;NA;NA;NA;NA;NA;9;-663.283626;1344.799211;5.288391288;0.004980642
1472;6.041297078;+;+;+;+;+;+;NA;+;+;NA;+;NA;NA;NA;NA;14;-658.2427353;1345.030218;5.519398066;0.004437341
1280;6.042406455;+;+;+;+;+;+;+;+;NA;NA;+;NA;NA;NA;NA;14;-658.2642623;1345.073272;5.562452172;0.004342839
528;6.052296078;+;+;+;+;NA;NA;NA;NA;NA;+;NA;NA;NA;NA;NA;10;-662.4274958;1345.138863;5.628043049;0.004202724
783;6.051079579;NA;+;+;+;NA;NA;NA;NA;+;+;NA;NA;NA;NA;NA;10;-662.4390842;1345.162039;5.651219761;0.004154302
12;6.052415039;+;+;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;-664.5045229;1345.194374;5.683554426;0.004087678
267;6.051297908;NA;+;NA;+;NA;NA;NA;NA;+;NA;NA;NA;NA;NA;NA;8;-664.5097486;1345.204825;5.694005887;0.004066373
192;6.053537261;+;+;+;+;+;+;NA;+;NA;NA;NA;NA;NA;NA;NA;12;-660.4201151;1345.243852;5.733032941;0.003987793
46;6.013776432;+;NA;+;+;NA;+;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;-663.5191656;1345.27029;5.759470439;0.003935426
224;6.055209154;+;+;+;+;+;NA;+;+;NA;NA;NA;NA;NA;NA;NA;12;-660.5216666;1345.446955;5.936135832;0.003602711
416;6.055194732;+;+;+;+;+;NA;NA;+;+;NA;NA;NA;NA;NA;NA;12;-660.5226689;1345.44896;5.938140471;0.003599101
