"","(Intercept)","Emersion","Population","Salinity","Temperature","Emersion:Population","Emersion:Salinity","Emersion:Temperature","Population:Salinity","Population:Temperature","Salinity:Temperature","Emersion:Population:Salinity","Emersion:Population:Temperature","Emersion:Salinity:Temperature","Population:Salinity:Temperature","Emersion:Population:Salinity:Temperature","df","logLik","AICc","delta","weight"
"832",-0.939081242803352,"+","+","+","+","+","+",NA,NA,"+","+",NA,NA,NA,NA,NA,26,81.5162865882596,-107.099800067276,12.4734114749476,0.000291113513029164
"560",-0.93908124280335,"+","+","+","+",NA,"+",NA,NA,NA,"+",NA,NA,NA,NA,NA,20,74.7061724639202,-107.098295341064,12.4749162011595,0.000290894572334084
"4848",-0.939081242803351,"+","+","+","+",NA,"+","+","+",NA,"+",NA,NA,"+",NA,NA,25,80.348929504017,-107.066574091833,12.5066374503903,0.00028631719867866
"784",-0.93908124280335,"+","+","+","+",NA,NA,NA,NA,"+","+",NA,NA,NA,NA,NA,22,76.9016872319748,-107.000050364227,12.5731611779964,0.000276950397214407
"448",-0.939081242803351,"+","+","+","+","+","+",NA,"+","+",NA,NA,NA,NA,NA,NA,28,83.7783329648039,-106.982018042284,12.5911934999392,0.000274464590906415
"5120",-0.939081242803349,"+","+","+","+","+","+","+","+","+","+",NA,NA,"+",NA,NA,31,87.3070976260977,-106.977831615832,12.5953799263913,0.000273890678864336
"704",-0.939081242803351,"+","+","+","+","+","+",NA,"+",NA,"+",NA,NA,NA,NA,NA,26,81.4539590842055,-106.975145059167,12.5980664830558,0.000273523014443132
"656",-0.939081242803352,"+","+","+","+",NA,NA,NA,"+",NA,"+",NA,NA,NA,NA,NA,22,76.6663527618718,-106.529381424021,13.0438301182024,0.000218875691211622
"176",-0.939081242803352,"+","+","+","+",NA,"+",NA,"+",NA,NA,NA,NA,NA,NA,NA,22,76.5911835863019,-106.379043072881,13.1941684693423,0.000203026146867624
"1008",-0.93908124280335,"+","+","+","+",NA,"+","+","+","+","+",NA,NA,NA,NA,NA,27,82.2968726571174,-106.346554302999,13.2266572392242,0.000199754754798469
"3584",-0.939081242803351,"+","+","+","+","+","+","+","+","+",NA,"+","+",NA,NA,NA,35,91.7717653554,-106.302151400455,13.271060141768,0.000195368777033474
"400",-0.93908124280335,"+","+","+","+",NA,NA,NA,"+","+",NA,NA,NA,NA,NA,NA,24,78.7858543207194,-106.229090257038,13.3441212851854,0.000188360629077142
"7040",-0.939081242803351,"+","+","+","+","+","+","+",NA,"+","+",NA,"+","+",NA,NA,31,86.7437856723982,-105.851207708433,13.7220038337902,0.000155931544062415
"304",-0.93908124280335,"+","+","+","+",NA,"+",NA,NA,"+",NA,NA,NA,NA,NA,NA,22,76.2451092749134,-105.686894450104,13.8863170921193,0.000143632860164094
"911",-0.939081242803352,NA,"+","+","+",NA,NA,NA,"+","+","+",NA,NA,NA,NA,NA,24,78.1588025972544,-104.974986810108,14.5982247321154,0.000100615532229219
"6144",-0.939081242803349,"+","+","+","+","+","+","+","+","+","+","+",NA,"+",NA,NA,34,89.8853218759772,-104.951159511267,14.6220520309563,9.94239462149529e-05
"1728",-0.939081242803351,"+","+","+","+","+","+",NA,"+",NA,"+","+",NA,NA,NA,NA,29,83.9171293311091,-104.91900442493,14.654207117293,9.7838234756976e-05
"1472",-0.939081242803351,"+","+","+","+","+","+",NA,"+","+",NA,"+",NA,NA,NA,NA,31,86.2495337378622,-104.862703839361,14.7105077028624,9.51224640116898e-05
"960",-0.93908124280335,"+","+","+","+","+","+",NA,"+","+","+",NA,NA,NA,NA,NA,29,83.8720906261449,-104.828927015002,14.7442845272215,9.3529485929201e-05
"816",-0.93908124280335,"+","+","+","+",NA,"+",NA,NA,"+","+",NA,NA,NA,NA,NA,23,76.9053042593621,-104.743941852058,14.8292696901656,8.96384325423714e-05
"688",-0.939081242803352,"+","+","+","+",NA,"+",NA,"+",NA,"+",NA,NA,NA,NA,NA,23,76.6706984095281,-104.27473015239,15.2984813898336,7.08934689408811e-05
"5104",-0.939081242803352,"+","+","+","+",NA,"+","+","+","+","+",NA,NA,"+",NA,NA,28,82.3701896282275,-104.165731369131,15.407480173092,6.71332144778913e-05
"912",-0.939081242803351,"+","+","+","+",NA,NA,NA,"+","+","+",NA,NA,NA,NA,NA,25,78.8703483116644,-104.109411707128,15.4637998350953,6.52691239210932e-05
"432",-0.93908124280335,"+","+","+","+",NA,"+",NA,"+","+",NA,NA,NA,NA,NA,NA,25,78.7961458417694,-103.961006767338,15.6122047748853,6.06013166828821e-05
"4096",-0.939081242803352,"+","+","+","+","+","+","+","+","+","+","+","+",NA,NA,NA,36,91.7852967316903,-103.893360033986,15.6798515082374,5.85858531493016e-05
"32768",-0.93908124280335,"+","+","+","+","+","+","+","+","+","+","+","+","+","+","+",43,100.450185012955,-103.770958261205,15.8022532810181,5.5107860633742e-05
"1984",-0.93908124280335,"+","+","+","+","+","+",NA,"+","+","+","+",NA,NA,NA,NA,32,86.3335555961729,-102.650017175252,16.9231943669714,3.14633011642233e-05
"944",-0.939081242803352,"+","+","+","+",NA,"+",NA,"+","+","+",NA,NA,NA,NA,NA,26,78.8765564721283,-101.820339835013,17.7528717072102,2.07798372609457e-05
"8192",-0.93908124280335,"+","+","+","+","+","+","+","+","+","+","+","+","+",NA,NA,37,91.8505973070253,-101.574026983993,17.9991845582303,1.83719809325101e-05
"74",-0.969529869324538,"+",NA,NA,"+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,15,52.0743017618533,-72.8442556976197,46.7289558446033,1.06063369014393e-11
"78",-0.970207567601045,"+",NA,"+","+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,16,52.6557548477748,-71.8292208672117,47.7439906750114,6.38488978752703e-12
"1",-0.966637494507447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,47.3151521298083,-69.7893339092123,49.7838776330108,2.30248908625362e-12
"110",-0.969571556934865,"+",NA,"+","+",NA,"+","+",NA,NA,NA,NA,NA,NA,NA,NA,17,52.6635553776748,-69.6549796078086,49.9182319344145,2.15289532389357e-12
"590",-0.970023278162865,"+",NA,"+","+",NA,NA,"+",NA,NA,"+",NA,NA,NA,NA,NA,17,52.6558908227938,-69.6396504980466,49.9335610441764,2.13645741463029e-12
"9",-0.970333379131488,NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,47.937575937661,-68.8913680915382,50.6818434506849,1.46962584376818e-12
