Name	Longitude	Latitude	temp_min	temp_min		Temp min	number of presences		Latitude	number of presences	Mean SSTmin
Fucus serratus	-5.175	51.966	7.294600964	7.3							
Fucus serratus	-10.35	51.973	8.363484383	8.4							
Fucus serratus	-5.006	52.051	7.074348927	7.1							
Fucus serratus	-4.932	52.069	6.974774837	7.0							
Fucus serratus	-10.434	52.07	8.413952827	8.4							
Fucus serratus	-7.592	52.071	7.674427032	7.7							
Fucus serratus	-7.518	52.085	7.674723148	7.7							
Fucus serratus	-9.932	52.092	8.08867836	8.1							
Fucus serratus	-10.354	52.094	8.304683685	8.3							
Fucus serratus	-6.929	52.123	7.721281052	7.7							
Fucus serratus	-6.342	52.175	7.569993019	7.6							
Fucus serratus	-9.838	52.287	7.945841789	7.9							
Fucus serratus	-10.087	52.306	8.042132378	8.0							
Fucus serratus	-10.015	52.316	7.991363049	8.0							
Fucus serratus	-6.423	52.331	7.292221069	7.3							
Fucus serratus	-9.709	52.482	7.80097723	7.8							
Fucus serratus	-9.85	52.566	7.82667017	7.8							
Fucus serratus	-6.177	52.583	6.80573988	6.8							
Fucus serratus	-9.026	52.63	7.419586182	7.4							
Fucus serratus	-9.69	52.725	7.693574905	7.7							
Fucus serratus	-4.746	52.804	6.782011032	6.8							
Fucus serratus	-9.512	52.808	7.586031914	7.6							
Fucus serratus	-6.067	52.818	6.508347988	6.5							
Fucus serratus	-9.427	52.892	7.514286995	7.5							
Fucus serratus	1.165	52.948	3.975370884	4.0							
Fucus serratus	1.253	52.949	4.012818813	4.0							
Fucus serratus	-9.342	53.117	7.309994221	7.3							
Fucus serratus	-9.173	53.15	7.209949017	7.2							
Fucus serratus	-8.988	53.214	7.195940971	7.2							
Fucus serratus	-9.097	53.224	7.202355862	7.2							
Fucus serratus	-4.596	53.228	6.52639389	6.5							
Fucus serratus	-9.263	53.232	7.298703194	7.3							
Fucus serratus	-8.972	53.235	7.195940971	7.2							
Fucus serratus	-9.595	53.248	7.476636887	7.5							
Fucus serratus	-6.094	53.27	6.321732998	6.3							
